"time","bus","location","direction","alg","count"
40,5,3.48364022318258,1,"elevator",5
41,1,3.30935248759975,-1,"elevator",2
41,2,10,0,"elevator",0
41,3,10,0,"elevator",0
41,4,7.97089507527923,1,"elevator",2
41,5,3.58712955066537,1,"elevator",5
42,1,2.11826456381628,-1,"elevator",1
42,2,10,0,"elevator",0
42,3,10,0,"elevator",0
42,4,8.35055248563953,1,"elevator",2
42,5,3.69061887814816,1,"elevator",5
43,1,1.7826640590215,-1,"elevator",1
43,2,10,0,"elevator",0
43,3,10,0,"elevator",0
43,4,8.73020989599984,1,"elevator",1
43,5,3.79410820563095,1,"elevator",5
44,1,1.44706355422672,-1,"elevator",1
44,2,10,0,"elevator",0
44,3,10,0,"elevator",0
44,4,9.30823126942422,1,"elevator",1
44,5,3.89759753311374,1,"elevator",3
45,1,1.11146304943193,-1,"elevator",0
45,2,10,0,"elevator",0
45,3,10,0,"elevator",0
45,4,9.88625264284861,1,"elevator",0
45,5,4.44903904181116,1,"elevator",2
46,1,1,0,"elevator",0
46,2,10,0,"elevator",0
46,3,10,0,"elevator",0
46,4,10,0,"elevator",0
46,5,4.76504430961928,1,"elevator",2
47,1,1,0,"elevator",0
47,2,10,0,"elevator",0
47,3,10,0,"elevator",0
47,4,10,0,"elevator",0
47,5,5.08104957742741,1,"elevator",2
48,1,1,0,"elevator",0
48,2,10,0,"elevator",0
48,3,10,0,"elevator",0
48,4,10,0,"elevator",0
48,5,5.39705484523553,1,"elevator",2
49,1,1,0,"elevator",0
49,2,10,0,"elevator",0
49,3,10,0,"elevator",0
49,4,10,0,"elevator",0
49,5,5.71306011304365,1,"elevator",1
50,1,1,0,"elevator",0
50,2,10,0,"elevator",0
50,3,10,0,"elevator",0
50,4,10,0,"elevator",0
50,5,6.47699575666721,1,"elevator",1
51,1,1,0,"elevator",0
51,2,10,0,"elevator",0
51,3,10,0,"elevator",0
51,4,10,0,"elevator",0
51,5,7.3260458287673,1,"elevator",0
1,1,1,1,"rope",0
1,2,1,-1,"rope",0
1,3,5,1,"rope",0
1,4,5,-1,"rope",0
1,5,10,-1,"rope",0
2,1,1.2995431729865,1,"rope",0
2,2,1,-1,"rope",0
2,3,5.87988170029226,1,"rope",0
2,4,4.52477510489676,-1,"rope",0
2,5,9.58821576820277,-1,"rope",0
3,1,1.599086345973,1,"rope",0
3,2,1,-1,"rope",0
3,3,6.75976340058453,1,"rope",0
3,4,4.04955020979351,-1,"rope",0
3,5,9.17643153640554,-1,"rope",2
4,1,1.89862951895949,1,"rope",5
4,2,1,-1,"rope",0
4,3,7.63964510087679,1,"rope",1
4,4,3.44505990688889,-1,"rope",0
4,5,8.64475425361368,-1,"rope",2
5,1,2.50354717720327,1,"rope",5
5,2,1,-1,"rope",0
5,3,7.88743545571298,1,"rope",1
5,4,2.53373706652389,-1,"rope",0
5,5,8.11307697082182,-1,"rope",2
6,1,3.63074049029544,1,"rope",5
6,2,1,-1,"rope",0
6,3,8.13522581054917,1,"rope",1
6,4,2.35906801916676,-1,"rope",0
6,5,7.87720399624651,-1,"rope",2
7,1,3.76469850766663,1,"rope",5
7,2,1.27812891235527,1,"rope",0
7,3,8.38301616538535,1,"rope",1
7,4,2.18439897180963,-1,"rope",0
7,5,7.64133102167121,-1,"rope",2
8,1,3.89865652503782,1,"rope",5
8,2,1.55625782471054,1,"rope",0
8,3,8.63080652022154,1,"rope",1
8,4,2.0097299244525,-1,"rope",0
8,5,7.40545804709591,-1,"rope",2
9,1,4.03261454240901,1,"rope",5
9,2,1.83438673706581,1,"rope",5
9,3,8.87859687505772,1,"rope",0
9,4,1.83506087709537,-1,"rope",0
9,5,7.16958507252061,-1,"rope",3
10,1,4.1665725597802,1,"rope",5
10,2,2.13200754654415,1,"rope",5
