"time","alg","direction","bus","location","arrive","board"
10,"elevator",-1,4,3,26.7773848562806,22.6093389873552
10,"elevator",1,1,3,23.1596479385385,10.0755920970646
10,"elevator",1,1,4,23.1596479385385,11.8911874380819
10,"elevator",1,1,4,18.9287204214709,11.8911874380819
10,"elevator",-1,5,6,22.2196275365842,18.3723475134222
10,"elevator",-1,4,6,24.8642413477627,18.8536303465551
10,"elevator",-1,5,7,22.2196275365842,14.2795941343192
10,"elevator",-1,5,7,20.0857027303649,14.2795941343192
10,"elevator",-1,4,10,24.8642413477627,13.0047984100674
11,"elevator",1,4,1,45.1967874587016,29.761137437196
11,"elevator",1,5,1,35.0301128227513,30.769293232712
11,"elevator",1,5,1,45.9991285557924,30.769293232712
11,"elevator",1,5,1,35.0301128227513,30.769293232712
11,"elevator",1,5,1,49.9080224799625,30.769293232712
11,"elevator",1,5,1,44.9894978484935,30.769293232712
11,"elevator",1,5,1,51.7937743525134,30.769293232712
11,"elevator",1,5,1,44.9894978484935,30.769293232712
11,"elevator",1,4,2,37.486355306626,31.7390351430494
11,"elevator",1,4,2,40.3467098686944,31.7390351430494
11,"elevator",1,4,2,37.1604945588089,31.7390351430494
11,"elevator",1,4,2,38.5749065993219,31.7390351430494
11,"elevator",1,4,2,37.486355306626,31.7390351430494
11,"elevator",-1,4,3,26.7773848562806,22.6093389873552
11,"elevator",-1,4,3,26.7773848562806,22.6093389873552
11,"elevator",1,1,4,23.1596479385385,11.8911874380819
11,"elevator",1,1,4,18.9287204214709,11.8911874380819
11,"elevator",-1,5,6,22.2196275365842,18.3723475134222
11,"elevator",-1,4,6,24.8642413477627,18.8536303465551
11,"elevator",-1,5,7,22.2196275365842,14.2795941343192
11,"elevator",-1,5,7,20.0857027303649,14.2795941343192
11,"elevator",-1,4,10,24.8642413477627,13.0047984100674
12,"elevator",1,4,1,45.1967874587016,29.761137437196
12,"elevator",1,5,1,35.0301128227513,30.769293232712
12,"elevator",1,5,1,45.9991285557924,30.769293232712
12,"elevator",1,5,1,35.0301128227513,30.769293232712
12,"elevator",1,5,1,49.9080224799625,30.769293232712
12,"elevator",1,5,1,44.9894978484935,30.769293232712
12,"elevator",1,5,1,51.7937743525134,30.769293232712
12,"elevator",1,5,1,44.9894978484935,30.769293232712
12,"elevator",1,4,2,37.486355306626,31.7390351430494
12,"elevator",1,4,2,40.3467098686944,31.7390351430494
12,"elevator",1,4,2,37.1604945588089,31.7390351430494
12,"elevator",1,4,2,38.5749065993219,31.7390351430494
12,"elevator",1,4,2,37.486355306626,31.7390351430494
12,"elevator",-1,4,3,26.7773848562806,22.6093389873552
12,"elevator",-1,4,3,26.7773848562806,22.6093389873552
12,"elevator",1,3,5,34.449996850666,24
12,"elevator",-1,5,6,22.2196275365842,18.3723475134222
12,"elevator",-1,4,6,24.8642413477627,18.8536303465551
12,"elevator",-1,5,7,22.2196275365842,14.2795941343192
12,"elevator",-1,5,7,20.0857027303649,14.2795941343192
12,"elevator",-1,5,7,20.4368969356572,14.2795941343192
12,"elevator",-1,4,10,24.8642413477627,13.0047984100674
13,"elevator",1,4,1,45.1967874587016,29.761137437196
13,"elevator",1,5,1,35.0301128227513,30.769293232712
13,"elevator",1,5,1,45.9991285557924,30.769293232712
13,"elevator",1,5,1,35.0301128227513,30.769293232712
13,"elevator",1,5,1,49.9080224799625,30.769293232712
13,"elevator",1,5,1,44.9894978484935,30.769293232712
13,"elevator",1,5,1,51.7937743525134,30.769293232712
13,"elevator",1,5,1,44.9894978484935,30.769293232712
13,"elevator",1,4,2,37.486355306626,31.7390351430494
13,"elevator",1,4,2,40.3467098686944,31.7390351430494
13,"elevator",1,4,2,37.1604945588089,31.7390351430494
13,"elevator",1,4,2,38.5749065993219,31.7390351430494
13,"elevator",1,4,2,37.486355306626,31.7390351430494
13,"elevator",-1,4,3,26.7773848562806,22.6093389873552
13,"elevator",-1,4,3,26.7773848562806,22.6093389873552
13,"elevator",1,3,5,34.449996850666,24
13,"elevator",-1,5,6,22.2196275365842,18.3723475134222
13,"elevator",-1,4,6,24.8642413477627,18.8536303465551
13,"elevator",-1,5,7,22.2196275365842,14.2795941343192
13,"elevator",-1,5,7,20.0857027303649,14.2795941343192
13,"elevator",-1,5,7,20.4368969356572,14.2795941343192
13,"elevator",-1,4,10,24.8642413477627,13.0047984100674
14,"elevator",1,4,1,45.1967874587016,29.761137437196
14,"elevator",1,5,1,35.0301128227513,30.769293232712
14,"elevator",1,5,1,45.9991285557924,30.769293232712
14,"elevator",1,5,1,35.0301128227513,30.769293232712
14,"elevator",1,5,1,49.9080224799625,30.769293232712
14,"elevator",1,5,1,44.9894978484935,30.769293232712
14,"elevator",1,5,1,51.7937743525134,30.769293232712
14,"elevator",1,5,1,44.9894978484935,30.769293232712
14,"elevator",1,4,2,37.486355306626,31.7390351430494
14,"elevator",1,4,2,40.3467098686944,31.7390351430494
14,"elevator",1,4,2,37.1604945588089,31.7390351430494
14,"elevator",1,4,2,38.5749065993219,31.7390351430494
14,"elevator",1,4,2,37.486355306626,31.7390351430494
14,"elevator",-1,4,3,26.7773848562806,22.6093389873552
14,"elevator",-1,4,3,26.7773848562806,22.6093389873552
14,"elevator",1,3,5,34.449996850666,24
14,"elevator",1,4,5,40.3467098686944,37.486355306626
14,"elevator",-1,5,6,22.2196275365842,18.3723475134222
14,"elevator",-1,4,6,24.8642413477627,18.8536303465551
14,"elevator",-1,5,7,22.2196275365842,14.2795941343192
14,"elevator",-1,5,7,20.0857027303649,14.2795941343192
14,"elevator",-1,5,7,20.4368969356572,14.2795941343192
14,"elevator",-1,4,8,24.8642413477627,15.0894649040772
15,"elevator",1,4,1,45.1967874587016,29.761137437196
15,"elevator",1,5,1,35.0301128227513,30.769293232712
